Timestamp,Elapsed_Time_from_FM,Measured_Flow_Rate_FM(sccm)
2024-10-16 11:52:33.064,0,398.4375
2024-10-16 11:52:33.144,0.08,1855.46875
2024-10-16 11:52:33.224,0.16,3776.95322036743
2024-10-16 11:52:33.304,0.24,5291.79668426514
2024-10-16 11:52:33.368,0.304,6497.26581573486
2024-10-16 11:52:33.448,0.384,7597.26572036743
2024-10-16 11:52:33.528,0.464,8403.90586853027
2024-10-16 11:52:33.608,0.544,8830.078125
2024-10-16 11:52:33.688,0.624,8912.50038146973
2024-10-16 11:52:33.767,0.703,9294.53086853027
2024-10-16 11:52:33.832,0.768,9599.21836853027
2024-10-16 11:52:33.912,0.848,9820.3125
2024-10-16 11:52:33.991,0.927,9864.84336853027
2024-10-16 11:52:34.072,1.008,9777.73475646973
2024-10-16 11:52:34.151,1.087,9867.1875
2024-10-16 11:52:34.215,1.151,9918.35975646973
2024-10-16 11:52:34.280,1.216,9896.09336853027
2024-10-16 11:52:34.360,1.296,9908.98418426514
2024-10-16 11:52:34.440,1.376,10058.59375
2024-10-16 11:52:34.520,1.456,10205.4691314697
2024-10-16 11:52:34.599,1.535,10309.3748092651
2024-10-16 11:52:34.664,1.6,10433.2027435303
2024-10-16 11:52:34.744,1.68,10432.0316314697
2024-10-16 11:52:34.824,1.76,10431.640625
2024-10-16 11:52:34.903,1.839,10529.6878814697
2024-10-16 11:52:34.983,1.919,10606.6408157349
2024-10-16 11:52:35.063,1.999,10652.7347564697
2024-10-16 11:52:35.144,2.08,10661.3283157349
2024-10-16 11:52:35.224,2.16,10742.5785064697
2024-10-16 11:52:35.304,2.24,10793.3597564697
2024-10-16 11:52:35.384,2.32,10800.78125
2024-10-16 11:52:35.463,2.399,10786.3283157349
2024-10-16 11:52:35.544,2.48,10755.859375
2024-10-16 11:52:35.624,2.56,10859.7660064697
2024-10-16 11:52:35.704,2.64,10823.0466842651
2024-10-16 11:52:35.783,2.719,10889.8439407349
2024-10-16 11:52:35.863,2.799,10916.015625
2024-10-16 11:52:35.943,2.879,11005.859375
2024-10-16 11:52:36.024,2.96,10930.8595657349
2024-10-16 11:52:36.104,3.04,10905.8589935303
2024-10-16 11:52:36.182,3.118,10919.1408157349
2024-10-16 11:52:36.264,3.2,10958.984375
2024-10-16 11:52:36.344,3.28,11015.2339935303
2024-10-16 11:52:36.423,3.359,11080.4691314697
2024-10-16 11:52:36.503,3.439,11075.7808685303
2024-10-16 11:52:36.583,3.519,11094.1410064697
2024-10-16 11:52:36.663,3.599,11025.390625
2024-10-16 11:52:36.743,3.679,11086.3285064697
2024-10-16 11:52:36.823,3.759,11107.0308685303
2024-10-16 11:52:36.902,3.838,11173.4371185303
2024-10-16 11:52:36.983,3.919,11096.0941314697
2024-10-16 11:52:37.064,4,11058.59375
2024-10-16 11:52:37.143,4.079,11120.7027435303
2024-10-16 11:52:37.222,4.158,11166.015625
2024-10-16 11:52:37.303,4.239,11073.8277435303
2024-10-16 11:52:37.383,4.319,11074.21875
2024-10-16 11:52:37.463,4.399,10962.1095657349
2024-10-16 11:52:37.543,4.479,11030.8589935303
2024-10-16 11:52:37.623,4.559,10976.5625
2024-10-16 11:52:37.703,4.639,11043.3597564697
2024-10-16 11:52:37.783,4.719,11195.7035064697
2024-10-16 11:52:37.863,4.799,11274.2185592651
2024-10-16 11:52:37.943,4.879,11239.4533157349
2024-10-16 11:52:38.022,4.958,11330.4691314697
2024-10-16 11:52:38.103,5.039,11275.390625
2024-10-16 11:52:38.182,5.118,11346.0941314697
2024-10-16 11:52:38.262,5.198,10986.328125
2024-10-16 11:52:38.342,5.278,10768.3591842651
2024-10-16 11:52:38.422,5.358,10649.9996185303
2024-10-16 11:52:38.503,5.439,10587.890625
2024-10-16 11:52:38.582,5.518,10530.8589935303
2024-10-16 11:52:38.662,5.598,10618.7496185303
2024-10-16 11:52:38.742,5.678,10688.6720657349
2024-10-16 11:52:38.822,5.758,10711.3285064697
2024-10-16 11:52:38.903,5.839,10738.28125
2024-10-16 11:52:38.982,5.918,10740.6253814697
2024-10-16 11:52:39.062,5.998,10763.671875
2024-10-16 11:52:39.142,6.078,10748.046875
2024-10-16 11:52:39.222,6.158,10778.9058685303
2024-10-16 11:52:39.302,6.238,10728.1246185303
2024-10-16 11:52:39.381,6.317,10895.7033157349
2024-10-16 11:52:39.461,6.397,10851.5625
2024-10-16 11:52:39.541,6.477,11060.1558685303
2024-10-16 11:52:39.621,6.557,11107.8128814697
2024-10-16 11:52:39.702,6.638,11130.0783157349
2024-10-16 11:52:39.781,6.717,11190.2341842651
2024-10-16 11:52:39.862,6.798,11230.8597564697
2024-10-16 11:52:39.941,6.877,11294.1408157349
2024-10-16 11:52:40.020,6.956,11343.75
2024-10-16 11:52:40.084,7.02,11379.6873092651
2024-10-16 11:52:40.165,7.101,11352.7345657349
2024-10-16 11:52:40.245,7.181,11445.7035064697
2024-10-16 11:52:40.325,7.261,11394.1402435303
2024-10-16 11:52:40.405,7.341,11562.8910064697
2024-10-16 11:52:40.485,7.421,11644.9222564697
2024-10-16 11:52:40.565,7.501,11608.2029342651
2024-10-16 11:52:40.645,7.581,11552.3433685303
2024-10-16 11:52:40.724,7.66,11505.4683685303
2024-10-16 11:52:40.804,7.74,11469.1410064697
2024-10-16 11:52:40.885,7.821,11428.9064407349
2024-10-16 11:52:40.965,7.901,11488.28125
2024-10-16 11:52:41.045,7.981,11473.0472564697
2024-10-16 11:52:41.124,8.06,11554.6875
2024-10-16 11:52:41.204,8.14,11495.7027435303
2024-10-16 11:52:41.285,8.221,11637.4998092651
2024-10-16 11:52:41.364,8.3,11671.4839935303
2024-10-16 11:52:41.444,8.38,11651.5626907349
2024-10-16 11:52:41.524,8.46,11638.2808685303
2024-10-16 11:52:41.604,8.54,11585.1564407349
2024-10-16 11:52:41.683,8.619,11591.796875
2024-10-16 11:52:41.764,8.7,11558.2027435303
2024-10-16 11:52:41.844,8.78,11578.5160064697
2024-10-16 11:52:41.923,8.859,11592.1878814697
2024-10-16 11:52:42.004,8.94,11639.4529342651
2024-10-16 11:52:42.083,9.019,11528.1248092651
2024-10-16 11:52:42.164,9.1,11603.515625
2024-10-16 11:52:42.244,9.18,11685.1558685303
2024-10-16 11:52:42.324,9.26,11709.7654342651
2024-10-16 11:52:42.404,9.34,11694.9214935303
2024-10-16 11:52:42.483,9.419,11703.5160064697
2024-10-16 11:52:42.562,9.498,11720.3121185303
2024-10-16 11:52:42.626,9.562,11696.4845657349
2024-10-16 11:52:42.707,9.643,11696.0935592651
2024-10-16 11:52:42.787,9.723,11658.5941314697
2024-10-16 11:52:42.868,9.804,11642.578125
2024-10-16 11:52:42.947,9.883,11684.7658157349
2024-10-16 11:52:43.026,9.962,11655.8589935303
2024-10-16 11:52:43.106,10.042,11781.25
2024-10-16 11:52:43.188,10.124,11909.3751907349
2024-10-16 11:52:43.266,10.202,11859.375
2024-10-16 11:52:43.330,10.266,11834.3753814697
2024-10-16 11:52:43.410,10.346,11831.6402435303
2024-10-16 11:52:43.492,10.428,11825.3908157349
2024-10-16 11:52:43.571,10.507,11835.5464935303
2024-10-16 11:52:43.651,10.587,11830.8591842651
2024-10-16 11:52:43.731,10.667,11846.8751907349
2024-10-16 11:52:43.811,10.747,11841.796875
2024-10-16 11:52:43.891,10.827,11697.265625
2024-10-16 11:52:43.970,10.906,11822.265625
2024-10-16 11:52:44.051,10.987,11871.8748092651
2024-10-16 11:52:44.131,11.067,11918.3597564697
2024-10-16 11:52:44.210,11.146,11881.2503814697
2024-10-16 11:52:44.291,11.227,11852.3435592651
2024-10-16 11:52:44.371,11.307,11874.2189407349
2024-10-16 11:52:44.450,11.386,11860.5470657349
2024-10-16 11:52:44.531,11.467,11882.0314407349
2024-10-16 11:52:44.611,11.547,11877.7341842651
2024-10-16 11:52:44.691,11.627,11889.0628814697
2024-10-16 11:52:44.771,11.707,11791.7966842651
2024-10-16 11:52:44.851,11.787,11861.7191314697
2024-10-16 11:52:44.930,11.866,11864.4533157349
2024-10-16 11:52:45.011,11.947,11935.1558685303
2024-10-16 11:52:45.091,12.027,11972.65625
2024-10-16 11:52:45.170,12.106,11955.4691314697
2024-10-16 11:52:45.251,12.187,11961.3285064697
2024-10-16 11:52:45.330,12.266,11969.1410064697
2024-10-16 11:52:45.410,12.346,12014.4529342651
2024-10-16 11:52:45.491,12.427,11976.5625
2024-10-16 11:52:45.570,12.506,11962.890625
2024-10-16 11:52:45.650,12.586,11885.1566314697
2024-10-16 11:52:45.730,12.666,11854.2966842651
2024-10-16 11:52:45.810,12.746,11879.2972564697
2024-10-16 11:52:45.890,12.826,12002.3441314697
2024-10-16 11:52:45.970,12.906,12015.2339935303
2024-10-16 11:52:46.050,12.986,11997.2658157349
2024-10-16 11:52:46.130,13.066,11964.4527435303
2024-10-16 11:52:46.210,13.146,11971.8751907349
2024-10-16 11:52:46.290,13.226,11936.7189407349
2024-10-16 11:52:46.369,13.305,11957.03125
2024-10-16 11:52:46.450,13.386,11930.8595657349
2024-10-16 11:52:46.529,13.465,12016.4060592651
2024-10-16 11:52:46.610,13.546,11944.1404342651
2024-10-16 11:52:46.690,13.626,11980.0777435303
2024-10-16 11:52:46.770,13.706,12004.2972564697
2024-10-16 11:52:46.849,13.785,12042.5777435303
2024-10-16 11:52:46.928,13.864,12045.3128814697
2024-10-16 11:52:47.009,13.945,11970.703125
2024-10-16 11:52:47.089,14.025,11937.5
2024-10-16 11:52:47.169,14.105,11939.453125
2024-10-16 11:52:47.249,14.185,11957.03125
2024-10-16 11:52:47.327,14.263,11930.4685592651
2024-10-16 11:52:47.392,14.328,11958.5933685303
2024-10-16 11:52:47.473,14.409,11971.0941314697
2024-10-16 11:52:47.553,14.489,11767.1871185303
2024-10-16 11:52:47.633,14.569,11806.2496185303
2024-10-16 11:52:47.713,14.649,11792.96875
2024-10-16 11:52:47.793,14.729,11833.2033157349
2024-10-16 11:52:47.872,14.808,11904.6878814697
2024-10-16 11:52:47.952,14.888,11877.3441314697
2024-10-16 11:52:48.033,14.969,11922.6560592651
2024-10-16 11:52:48.113,15.049,11857.421875
2024-10-16 11:52:48.193,15.129,11859.7660064697
2024-10-16 11:52:48.273,15.209,11926.9533157349
2024-10-16 11:52:48.351,15.287,12030.8589935303
2024-10-16 11:52:48.433,15.369,11867.1875
2024-10-16 11:52:48.512,15.448,11967.1878814697
2024-10-16 11:52:48.591,15.527,11864.8433685303
2024-10-16 11:52:48.673,15.609,11992.5785064697
2024-10-16 11:52:48.751,15.687,12016.4060592651
2024-10-16 11:52:48.831,15.767,11967.1878814697
2024-10-16 11:52:48.895,15.831,11976.9535064697
2024-10-16 11:52:48.976,15.912,12008.9845657349
2024-10-16 11:52:49.056,15.992,12039.4535064697
2024-10-16 11:52:49.136,16.072,12024.9996185303
2024-10-16 11:52:49.216,16.152,12104.6876907349
2024-10-16 11:52:49.296,16.232,11982.421875
2024-10-16 11:52:49.375,16.311,11948.8277435303
2024-10-16 11:52:49.456,16.392,12113.6722564697
2024-10-16 11:52:49.536,16.472,12226.1714935303
2024-10-16 11:52:49.615,16.551,12232.8128814697
2024-10-16 11:52:49.696,16.632,12213.6716842651
2024-10-16 11:52:49.776,16.712,12153.1248092651
2024-10-16 11:52:49.856,16.792,12087.890625
2024-10-16 11:52:49.935,16.871,12073.0466842651
2024-10-16 11:52:50.016,16.952,12079.2970657349
2024-10-16 11:52:50.096,17.032,12095.3121185303
2024-10-16 11:52:50.176,17.112,11998.4378814697
2024-10-16 11:52:50.256,17.192,12065.6251907349
2024-10-16 11:52:50.336,17.272,12051.9533157349
2024-10-16 11:52:50.416,17.352,12147.6564407349
2024-10-16 11:52:50.496,17.432,12206.2501907349
2024-10-16 11:52:50.576,17.512,12158.9841842651
2024-10-16 11:52:50.656,17.592,12112.1091842651
2024-10-16 11:52:50.736,17.672,12116.4064407349
2024-10-16 11:52:50.816,17.752,12141.0160064697
2024-10-16 11:52:50.895,17.831,12251.5621185303
2024-10-16 11:52:50.976,17.912,12287.5003814697
2024-10-16 11:52:51.056,17.992,12149.6095657349
2024-10-16 11:52:51.135,18.071,12097.65625
2024-10-16 11:52:51.215,18.151,12158.5941314697
2024-10-16 11:52:51.295,18.231,12319.9214935303
2024-10-16 11:52:51.376,18.312,12328.125
2024-10-16 11:52:51.454,18.39,12145.3123092651
2024-10-16 11:52:51.535,18.471,12158.9841842651
2024-10-16 11:52:51.615,18.551,12144.1402435303
2024-10-16 11:52:51.695,18.631,12158.203125
2024-10-16 11:52:51.774,18.71,12137.1097564697
2024-10-16 11:52:51.853,18.789,12053.9064407349
2024-10-16 11:52:51.935,18.871,12031.25
2024-10-16 11:52:52.014,18.95,12074.9998092651
2024-10-16 11:52:52.094,19.03,12017.9691314697
2024-10-16 11:52:52.174,19.11,12213.6716842651
2024-10-16 11:52:52.254,19.19,12198.0466842651
2024-10-16 11:52:52.335,19.271,12137.4998092651
2024-10-16 11:52:52.414,19.35,12064.453125
2024-10-16 11:52:52.494,19.43,11974.2183685303
2024-10-16 11:52:52.574,19.51,12085.1564407349
2024-10-16 11:52:52.653,19.589,12140.625
2024-10-16 11:52:52.732,19.668,12078.125
2024-10-16 11:52:52.796,19.732,12214.4527435303
2024-10-16 11:52:52.861,19.797,12209.7654342651
2024-10-16 11:52:52.942,19.878,12041.7966842651
2024-10-16 11:52:53.022,19.958,12229.2966842651
2024-10-16 11:52:53.102,20.038,12206.2501907349
2024-10-16 11:52:53.182,20.118,12066.7972564697
2024-10-16 11:52:53.261,20.197,12324.21875
2024-10-16 11:52:53.340,20.276,12412.8904342651
2024-10-16 11:52:53.422,20.358,12304.6875
2024-10-16 11:52:53.501,20.437,12310.1558685303
2024-10-16 11:52:53.581,20.517,12280.4689407349
2024-10-16 11:52:53.662,20.598,12415.2345657349
2024-10-16 11:52:53.741,20.677,12269.53125
2024-10-16 11:52:53.821,20.757,12337.890625
2024-10-16 11:52:53.901,20.837,12421.0939407349
2024-10-16 11:52:53.982,20.918,12281.6410064697
2024-10-16 11:52:54.061,20.997,12283.9841842651
2024-10-16 11:52:54.142,21.078,12349.2183685303
2024-10-16 11:52:54.220,21.156,12290.6246185303
2024-10-16 11:52:54.301,21.237,12342.5779342651
2024-10-16 11:52:54.381,21.317,12345.703125
2024-10-16 11:52:54.460,21.396,12500.3910064697
2024-10-16 11:52:54.542,21.478,12485.5470657349
2024-10-16 11:52:54.621,21.557,12371.09375
2024-10-16 11:52:54.701,21.637,12471.4841842651
2024-10-16 11:52:54.781,21.717,12496.09375
2024-10-16 11:52:54.860,21.796,12225.3904342651
2024-10-16 11:52:54.941,21.877,12133.2035064697
2024-10-16 11:52:55.021,21.957,12168.3597564697
2024-10-16 11:52:55.100,22.036,12180.4685592651
2024-10-16 11:52:55.180,22.116,12114.8433685303
2024-10-16 11:52:55.260,22.196,12288.2814407349
2024-10-16 11:52:55.341,22.277,12249.2189407349
2024-10-16 11:52:55.421,22.357,12102.3435592651
2024-10-16 11:52:55.500,22.436,12265.2339935303
2024-10-16 11:52:55.580,22.516,12389.8439407349
2024-10-16 11:52:55.660,22.596,12212.890625
2024-10-16 11:52:55.740,22.676,12107.8128814697
2024-10-16 11:52:55.821,22.757,12100.7814407349
2024-10-16 11:52:55.900,22.836,11987.5001907349
2024-10-16 11:52:55.980,22.916,11839.4527435303
2024-10-16 11:52:56.058,22.994,12372.2658157349
2024-10-16 11:52:56.123,23.059,12161.7183685303
2024-10-16 11:52:56.202,23.138,11918.3597564697
2024-10-16 11:52:56.268,23.204,12308.2027435303
2024-10-16 11:52:56.347,23.283,12106.6408157349
2024-10-16 11:52:56.428,23.364,11675.0001907349
2024-10-16 11:52:56.508,23.444,11562.8910064697
2024-10-16 11:52:56.588,23.524,11561.7189407349
2024-10-16 11:52:56.668,23.604,11497.6558685303
2024-10-16 11:52:56.748,23.684,11268.7501907349
2024-10-16 11:52:56.829,23.765,11540.2345657349
2024-10-16 11:52:56.906,23.842,11440.6251907349
2024-10-16 11:52:56.970,23.906,11464.4527435303
2024-10-16 11:52:57.052,23.988,11782.4220657349
2024-10-16 11:52:57.132,24.068,11410.9373092651
2024-10-16 11:52:57.211,24.147,11169.1408157349
2024-10-16 11:52:57.291,24.227,10766.4060592651
2024-10-16 11:52:57.372,24.308,10741.4064407349
2024-10-16 11:52:57.451,24.387,10175.78125
2024-10-16 11:52:57.532,24.468,10069.1404342651
2024-10-16 11:52:57.612,24.548,9788.28144073486
2024-10-16 11:52:57.691,24.627,9585.9375
2024-10-16 11:52:57.771,24.707,10142.9691314697
2024-10-16 11:52:57.852,24.788,10038.2814407349
2024-10-16 11:52:57.932,24.868,9809.37480926514
2024-10-16 11:52:58.011,24.947,9442.96836853027
2024-10-16 11:52:58.090,25.026,9247.26581573486
2024-10-16 11:52:58.171,25.107,8729.29668426514
2024-10-16 11:52:58.251,25.187,8326.171875
2024-10-16 11:52:58.330,25.266,8272.26543426514
2024-10-16 11:52:58.411,25.347,8004.68730926514
2024-10-16 11:52:58.489,25.425,8362.10918426514
2024-10-16 11:52:58.571,25.507,8302.734375
2024-10-16 11:52:58.650,25.586,8016.79706573486
2024-10-16 11:52:58.731,25.667,7900.390625
2024-10-16 11:52:58.810,25.746,7756.64043426514
2024-10-16 11:52:58.889,25.825,7165.62509536743
2024-10-16 11:52:58.953,25.889,7196.09355926514
2024-10-16 11:52:59.033,25.969,6830.46865463257
2024-10-16 11:52:59.114,26.05,6512.49980926514
2024-10-16 11:52:59.194,26.13,7086.71855926514
2024-10-16 11:52:59.274,26.21,6987.50019073486
2024-10-16 11:52:59.355,26.291,6836.71855926514
2024-10-16 11:52:59.434,26.37,6530.46894073486
2024-10-16 11:52:59.515,26.451,6613.28125
2024-10-16 11:52:59.594,26.53,6128.90625
2024-10-16 11:52:59.674,26.61,5969.53105926514
2024-10-16 11:52:59.754,26.69,6003.90625
2024-10-16 11:52:59.834,26.77,5649.60956573486
2024-10-16 11:52:59.913,26.849,6093.35947036743
2024-10-16 11:52:59.994,26.93,5437.89052963257
2024-10-16 11:53:00.073,27.009,5061.32793426514
2024-10-16 11:53:00.153,27.089,5010.93769073486
2024-10-16 11:53:00.233,27.169,5056.640625
2024-10-16 11:53:00.313,27.249,3772.65620231628
2024-10-16 11:53:00.394,27.33,4038.28144073486
2024-10-16 11:53:00.473,27.409,3778.51557731628
2024-10-16 11:53:00.553,27.489,3150.00009536743
2024-10-16 11:53:00.634,27.57,3040.23432731628
2024-10-16 11:53:00.713,27.649,2457.42177963257
2024-10-16 11:53:00.794,27.73,3005.859375
2024-10-16 11:53:00.872,27.808,2385.93745231628
2024-10-16 11:53:00.936,27.872,1607.81252384186
2024-10-16 11:53:01.017,27.953,1364.45307731628
2024-10-16 11:53:01.097,28.033,1273.82814884186
2024-10-16 11:53:01.177,28.113,286.328136920929
2024-10-16 11:53:01.257,28.193,21.874999627471
