Timestamp,Elapsed_Time_from_FM,Measured_Flow_Rate_FM(sccm)
2024-10-09 11:56:55.047,0,40.6249985098839
2024-10-09 11:56:55.112,0.065,182.812497019768
2024-10-09 11:56:55.191,0.144,905.078113079071
2024-10-09 11:56:55.271,0.224,3151.17192268372
2024-10-09 11:56:55.351,0.304,6016.01552963257
2024-10-09 11:56:55.430,0.383,7195.3125
2024-10-09 11:56:55.510,0.463,7595.31259536743
2024-10-09 11:56:55.591,0.544,7344.53105926514
2024-10-09 11:56:55.669,0.622,7362.50019073486
2024-10-09 11:56:55.735,0.688,7425.78125
2024-10-09 11:56:55.813,0.766,7546.48447036743
2024-10-09 11:56:55.878,0.831,7608.59394073486
2024-10-09 11:56:55.958,0.911,7828.90605926514
2024-10-09 11:56:56.037,0.99,8646.87538146973
2024-10-09 11:56:56.118,1.071,9773.82850646973
2024-10-09 11:56:56.197,1.15,10047.6560592651
2024-10-09 11:56:56.277,1.23,10323.4376907349
2024-10-09 11:56:56.358,1.311,10501.953125
2024-10-09 11:56:56.437,1.39,10795.7029342651
2024-10-09 11:56:56.517,1.47,11167.5777435303
2024-10-09 11:56:56.597,1.55,11610.1560592651
2024-10-09 11:56:56.676,1.629,11578.5160064697
2024-10-09 11:56:56.756,1.709,11377.3441314697
2024-10-09 11:56:56.836,1.789,11383.9845657349
2024-10-09 11:56:56.899,1.852,11604.2966842651
2024-10-09 11:56:56.980,1.933,11868.7496185303
2024-10-09 11:56:57.060,2.013,12039.4535064697
2024-10-09 11:56:57.140,2.093,12158.203125
2024-10-09 11:56:57.220,2.173,12282.0310592651
2024-10-09 11:56:57.299,2.252,12524.9996185303
2024-10-09 11:56:57.380,2.333,12682.8126907349
2024-10-09 11:56:57.459,2.412,12713.2816314697
2024-10-09 11:56:57.539,2.492,12720.3121185303
2024-10-09 11:56:57.620,2.573,12495.3126907349
2024-10-09 11:56:57.698,2.651,12353.1246185303
2024-10-09 11:56:57.779,2.732,12445.7035064697
2024-10-09 11:56:57.859,2.812,12478.9066314697
2024-10-09 11:56:57.939,2.892,12410.15625
2024-10-09 11:56:58.018,2.971,12316.0152435303
2024-10-09 11:56:58.098,3.051,12428.9064407349
2024-10-09 11:56:58.179,3.132,12612.8902435303
2024-10-09 11:56:58.257,3.21,12796.4839935303
2024-10-09 11:56:58.337,3.29,12761.3277435303
2024-10-09 11:56:58.401,3.354,12823.8277435303
2024-10-09 11:56:58.481,3.434,12895.7033157349
2024-10-09 11:56:58.562,3.515,12993.3595657349
2024-10-09 11:56:58.642,3.595,13232.421875
2024-10-09 11:56:58.721,3.674,13349.2183685303
2024-10-09 11:56:58.801,3.754,13336.3285064697
2024-10-09 11:56:58.880,3.833,13203.125
2024-10-09 11:56:58.960,3.913,13009.3746185303
2024-10-09 11:56:59.041,3.994,13045.7029342651
2024-10-09 11:56:59.120,4.073,13241.0154342651
2024-10-09 11:56:59.200,4.153,13146.0933685303
2024-10-09 11:56:59.279,4.232,12947.265625
2024-10-09 11:56:59.344,4.297,13105.8597564697
2024-10-09 11:56:59.424,4.377,13276.5626907349
2024-10-09 11:56:59.503,4.456,13396.0933685303
2024-10-09 11:56:59.584,4.537,13495.7027435303
2024-10-09 11:56:59.664,4.617,13539.4535064697
2024-10-09 11:56:59.743,4.696,13517.9691314697
2024-10-09 11:56:59.823,4.776,13429.2964935303
2024-10-09 11:56:59.902,4.855,13383.5935592651
2024-10-09 11:56:59.967,4.92,13533.9841842651
2024-10-09 11:57:00.048,5.001,13640.625
2024-10-09 11:57:00.127,5.08,13480.46875
2024-10-09 11:57:00.207,5.16,13541.7966842651
2024-10-09 11:57:00.287,5.24,13580.078125
2024-10-09 11:57:00.366,5.319,13365.6253814697
2024-10-09 11:57:00.446,5.399,13378.90625
2024-10-09 11:57:00.525,5.478,13826.9529342651
2024-10-09 11:57:00.590,5.543,14110.9371185303
2024-10-09 11:57:00.671,5.624,13741.7964935303
2024-10-09 11:57:00.749,5.702,13571.0935592651
2024-10-09 11:57:00.829,5.782,13511.71875
2024-10-09 11:57:00.908,5.861,13344.9220657349
2024-10-09 11:57:00.973,5.926,13197.265625
2024-10-09 11:57:01.053,6.006,13244.9216842651
2024-10-09 11:57:01.132,6.085,13357.8128814697
2024-10-09 11:57:01.197,6.15,13363.6722564697
2024-10-09 11:57:01.277,6.23,13373.8279342651
2024-10-09 11:57:01.356,6.309,13430.8595657349
2024-10-09 11:57:01.436,6.389,13428.1253814697
2024-10-09 11:57:01.500,6.453,13637.4998092651
2024-10-09 11:57:01.580,6.533,13831.6402435303
2024-10-09 11:57:01.660,6.613,13597.65625
2024-10-09 11:57:01.739,6.692,13344.1410064697
2024-10-09 11:57:01.803,6.756,13307.8126907349
2024-10-09 11:57:01.884,6.837,13257.4214935303
2024-10-09 11:57:01.964,6.917,13405.8589935303
2024-10-09 11:57:02.044,6.997,13264.0628814697
2024-10-09 11:57:02.124,7.077,13080.4691314697
2024-10-09 11:57:02.203,7.156,13050.0001907349
2024-10-09 11:57:02.283,7.236,13032.8121185303
2024-10-09 11:57:02.362,7.315,13062.8910064697
2024-10-09 11:57:02.443,7.396,13190.2341842651
2024-10-09 11:57:02.522,7.475,13085.9375
2024-10-09 11:57:02.586,7.539,12969.1410064697
2024-10-09 11:57:02.667,7.62,12927.734375
2024-10-09 11:57:02.745,7.698,12971.8751907349
2024-10-09 11:57:02.826,7.779,13082.4222564697
2024-10-09 11:57:02.906,7.859,13211.3285064697
2024-10-09 11:57:02.985,7.938,13090.6248092651
2024-10-09 11:57:03.049,8.002,13024.9996185303
2024-10-09 11:57:03.130,8.083,13018.7501907349
2024-10-09 11:57:03.209,8.162,13138.671875
2024-10-09 11:57:03.289,8.242,13066.7972564697
2024-10-09 11:57:03.369,8.322,13384.765625
2024-10-09 11:57:03.448,8.401,13269.53125
2024-10-09 11:57:03.512,8.465,13367.9685592651
2024-10-09 11:57:03.592,8.545,13487.8902435303
2024-10-09 11:57:03.657,8.61,13472.2652435303
2024-10-09 11:57:03.736,8.689,12951.171875
2024-10-09 11:57:03.815,8.768,13316.40625
2024-10-09 11:57:03.880,8.833,13405.0779342651
2024-10-09 11:57:03.959,8.912,13274.2185592651
2024-10-09 11:57:04.023,8.976,13133.5935592651
2024-10-09 11:57:04.104,9.057,13490.6253814697
2024-10-09 11:57:04.183,9.136,13669.5308685303
2024-10-09 11:57:04.263,9.216,13445.7035064697
2024-10-09 11:57:04.344,9.297,13269.53125
2024-10-09 11:57:04.423,9.376,12797.2660064697
2024-10-09 11:57:04.503,9.456,13204.6871185303
2024-10-09 11:57:04.582,9.535,13441.0152435303
2024-10-09 11:57:04.647,9.6,13447.265625
2024-10-09 11:57:04.727,9.68,13398.8285064697
2024-10-09 11:57:04.806,9.759,13541.4066314697
2024-10-09 11:57:04.887,9.84,13596.4841842651
